name,description,biography,personality,seasons,titles,status,death,origin,allegiance,culture,religion,predecessor,successor,father,mother,spouse,children,siblings,lovers,image_1_src,image_1_caption,image_2_src,image_2_caption,image_3_src,image_3_caption,image_4_src,image_4_caption,image_5_src,image_5_caption,image_6_src,image_6_caption,image_7_src,image_7_caption,image_8_src,image_8_caption,house
Matthos Seaworth,"Matthos Seaworth is a recurring character in the second season. He is played by guest star Kerr Logan and debuts in ""The North Remembers."" He is the son of Ser Davos Seaworth and a squire and scribe to Stannis Baratheon.","Matthos Seaworth is the son of Ser Davos Seaworth, the famous ""Onion Knight"" rewarded by Stannis Baratheon for supplying food to the castle of Storm's End while it was under siege during Robert's Rebellion. Davos became one of Stannis's most loyal vassals. Matthos serves his father and King Stannis by working as a crewman on his father's warship and also as King Stannis's scribe. He is Stannis's squire and it is expected that one day he will become a knight.","",2,"",Deceased,Killed by Wildfire explosion during the Battle of the Blackwater.,Cape Wrath,"House Seaworth, House Baratheon of Dragonstone",Andal,"R'hllor, the Lord of Light (convert), Faith of the Seven (formerly)","","",Davos Seaworth,Marya Seaworth,"","","","",http://vignette3.wikia.nocookie.net/gameofthrones/images/b/b3/MatthosSeaworthHD2x09.png/revision/latest?cb=20160724071826,Matthos Seaworth,http://vignette1.wikia.nocookie.net/gameofthrones/images/7/7d/Matthos_baby.png,Davos holding a newborn Matthos,http://vignette1.wikia.nocookie.net/gameofthrones/images/9/99/Painted_Table_Dragon_motif_2x01.jpg,Matthos as Stannis' scribe at the Painted Table.,http://vignette2.wikia.nocookie.net/gameofthrones/images/6/62/Davos_Matthos_faith.png,Davos and Matthos en route to King's Landing,http://vignette2.wikia.nocookie.net/gameofthrones/images/5/5d/Matthos_death_2x09.jpg,Matthos is killed by the Wildfire's blast,"","","","","","",House Baratheon of Dragonstone
Allo,"Allo is an unidentified background character in the first season. He is a newly made Builder of the Night's Watch, of the same group of recruits as Jon Snow.","","",1,"",Alive,"","",Night's Watch,"","","","","","","","","","","",Allo,"","","","","","","","","","","","","","",""
Tanda Stokeworth,Tanda Stokeworth is an unseen character in the fifth season. She is the lady of Castle Stokeworth.,"","",5,Lady of Castle Stokeworth,Alive,"","",House Stokeworth,Andal,"","","","","",Lord Stokeworth,"Falyse Stokeworth, Lollys Stokeworth","","","",Tanda Stokeworth,"","","","","","","","","","","","","","",""
Unidentified Warlock,"An ""Unidentified Warlock"" is an assassin played by Lottie Steer first seen in ""Valar Dohaeris"". Like her cohorts, she displays the blue-stained lips of those who drink Shade of the evening.","","",3,"",Alive,"",Qarth,Warlocks,Qartheen,"","","","","","","","","",http://vignette2.wikia.nocookie.net/gameofthrones/images/f/f2/Unidentified_warlock_S3_Ep1.png/revision/latest?cb=20130402165149,Unidentified Warlock,"","","","","","","","","","","","","","",""
Garlan Tyrell,"Garlan Tyrell, is a character cut from Game of Thrones. He has only appeared in the House Tyrell family tree issued by HBO.",Garlan Tyrell is the second son of Mace Tyrell and Alerie Tyrell. Mace is the Lord of Highgarden and head of House Tyrell. He has two brothers Willas and Loras and one sister Margaery.,"","",Ser,Alive,"","",House Tyrell,"","","","","","","","","","","",Garlan Tyrell,"","","","","","","","","","","","","","",House Tyrell
Arwaya Frey,"Arwaya Frey is one of the many daughters of Walder Frey. She first appears as a background character in the Season 1 episode ""Baelor"" and is finally identified in the Season 3 episode ""The Rains of Castamere"".","Arwaya is one of the many daughters of Walder Frey, the Lord of the Crossing.","","1, 3","",Alive,"",The Twins,House Frey,Andal,"","","",Walder Frey,"Joyeuse Erenford (stepmother), Kitty Frey (stepmother)","","","Stevron Frey , Stevron Frey , Lothar Frey, Olyvar Frey, Waldron Frey, Walda Frey, Roslin Tully, Derwa Frey, Shirei Frey, Ryger Rivers (bastard paternal half-, brother), Walder Rivers (bastard paternal half-brother)","",http://vignette1.wikia.nocookie.net/gameofthrones/images/a/a2/Arwaya_Frey_Brightened.png/revision/latest?cb=20160716120222,Arwaya Frey,"","","","","","","","","","","","","","",House Frey
Duncan Liddle,"Duncan Liddle is a minor character appearing in Season 5. He's played by an unidentified extra and debuts in ""Hardhome"". Duncan Liddle is a Ranger of the Night's Watch.","","",5,"",Alive,"","",Night's Watch,"","","","","","","","","","","",Duncan Liddle,"","","","","","","","","","","","","","",""
Musician 2 (The Lion and the Rose),"A musician ​is an unnamed minor character in the fourth season. He is played by guest star Georg Hólm and only appears in ""The Lion and the Rose"".","He is a musician who performs in a group with two others, in which he plays percussion.","",4,"",Alive,"","",For hire,"","","","","","","","","","",http://vignette1.wikia.nocookie.net/gameofthrones/images/b/b4/Percussionist.jpg/revision/latest?cb=20140414191346,Musician 2 (The Lion and the Rose),"","","","","","","","","","","","","","",""
Gerald,"Gerald is a minor character in the second season. He is played by guest star Ken Fletcher and only appears in the ""What is Dead May Never Die.""","","",2,"",Alive,"","","House Baratheon, Renly Baratheon","","","","","","","","","","",http://vignette1.wikia.nocookie.net/gameofthrones/images/6/6c/Gerald.png/revision/latest?cb=20120416182234,Gerald,"","","","","","","","","","","","","","",House Baratheon
Galbart Glover,"Lord Galbart Glover is a recurring background character in the first season. He is played uncredited by Mark Coney and debuts in ""The Pointy End."" Galbart Glover is the Lord of Deepwood Motte and a loyal bannerman to House Stark.","Galbart Glover is the Lord of Deepwood Motte and the head of House Glover, a vassal family to House Stark of Winterfell. He is known as a loyal and reliable bannerman.
Gregor Forrester famously arm-wrestled Galbart Glover for the privilege of becoming the man's squire; Glover later joked that he'd gladly lose the match all over again.","",1,Lord of Deepwood Motte,Deceased,Died during the War of the Five Kings,Deepwood Motte,"House Stark, House Glover",Northmen,"","",Robett Glover,"","","","",Robett Glover,"",http://vignette3.wikia.nocookie.net/gameofthrones/images/1/1c/Galbart_Glover.jpg/revision/latest?cb=20110621234338,Galbart Glover,"","","","","","","","","","","","","","",House Stark
Durran,"King Durran, also known as Durran Godsgrief, is an unseen character in Game of Thrones. He is deceased when the series begins and has only appeared in the Complete Guide to Westeros and Histories & Lore featurettes.
Durran was a legendary First Men figure of the Age of Heroes and the first of the Storm Kings, who ruled the Stormlands until the Targaryen invasion of Westeros. According to legend, Durran won the love of Elenei, daughter of the sea god and the wind goddess, and took her as his wife.
In rage, the gods sent a storm to destroy his keep over Shipbreaker Bay, killing his family and guests. Declaring war against them, Durran built new castles, each larger and more formidable than the previous one, though all were the destroyed by the divine storms. Finally, the seventh castle, which Durran built with the aid of either the Children of the Forest or a very young Bran the Builder, withstood the rage of the gods and became known as Storm's End, while Durran earned the nickname of ""Durran's Godsgrief"" and ruled as the first Storm King.
Durran's dynasty, House Durrandon, perished with the death of Argilac Durrandon. However, House Baratheon descends from it through its female bloodline.","","","",Storm King,Deceased,"",The Stormlands,House Durrandon,"","","","","","",Elenei,"","","",http://vignette1.wikia.nocookie.net/gameofthrones/images/6/68/Durran.png/revision/latest?cb=20140220020522,Durran,"","","","","","","","","","","","","","",House Durrandon
Theon's master of hounds,"Theon's master of hounds is an unnamed minor character in the second season. He is played by guest star Steve Wilson and only appears in ""A Man Without Honor.""","","",2,"",Deceased,"",Iron Islands,House Greyjoy,Ironborn,"","","","","","","","","",http://vignette1.wikia.nocookie.net/gameofthrones/images/e/e2/Theon%27s_master_of_hounds.jpg/revision/latest?cb=20160805022108,Theon's master of hounds,"","","","","","","","","","","","","","",House Greyjoy
Petyr Karstark,"Petyr Karstark is an unseen character in Game of Thrones. He is not expected to appear in the series, being long dead by the time it starts. He is one of the earliest recorded members of House Karstark.","Petyr Karstark was the second born son of Commard Karstark and his wife, Regan.","",1,"",Deceased,"",Karhold,House Karstark,Northmen,"","","",Commard Karstark,Regan Karstark,"","","Berrican Karstark, Jon Karstark, Laurence Karstark, Unnamed brother","",http://vignette1.wikia.nocookie.net/gameofthrones/images/1/12/Umber_lineage.jpg/revision/latest?cb=20121017111905,Petyr Karstark,"","","","","","","","","","","","","","",""
Tortured prisoner,"A Tortured prisoner is an unnamed minor character in the second season. He is played by guest star Donal Gallery and only appears in ""Garden of Bones."" He is tortured to death at Harrenhal.","","",2,"",Deceased,Tortured to death by The Tickler,"","","","","","","","","","","","",http://vignette4.wikia.nocookie.net/gameofthrones/images/4/41/Male_Lannister_prisoner.png/revision/latest?cb=20120423160401,Tortured prisoner,"","","","","","","","","","","","","","",""
Wyllis Bracken,Ser Wyllis Bracken is an unseen character who is mentioned in the fifth season. He is a knight from the Riverlands and a member of House Bracken.,"","",5,Ser,Alive,"",Stone Hedge,House Bracken,Andal,Faith of the Seven,"","","","",Lollys Stokeworth (betrothed),"","","","",Wyllis Bracken,"","","","","","","","","","","","","","",""
Ghost,"Ghost is one of six direwolf pups that are found by the children of House Stark. He is adopted and raised by Jon Snow. Ghost is an albino with white fur and red eyes. Though he was the runt of the litter when he was born, he quickly grew to be as big as the rest of his siblings. As far as anyone knows he is the only direwolf still alive and with his owner.","","","1, 2, 3, 4, 5, 6, 7","",Alive,"","",Jon Snow,"","","","","","","","","","",http://vignette4.wikia.nocookie.net/gameofthrones/images/9/99/Ghost_2.png/revision/latest?cb=20150404153709,Ghost,http://vignette4.wikia.nocookie.net/gameofthrones/images/7/70/Screen_Shot_2013-06-16_at_12.18.27_AM.png,Jon Snow finds Ghost as a pup.,http://vignette2.wikia.nocookie.net/gameofthrones/images/a/ab/Ghost.png,Ghost snarls at Rast.,http://vignette2.wikia.nocookie.net/gameofthrones/images/7/7c/Ghost_on_a_hill.jpg,Ghost at the Fist of the First Men with the Night's Watch.,http://vignette4.wikia.nocookie.net/gameofthrones/images/a/a6/GhostDirewolfSeason2.png,Ghost accompanies Jon north.,http://vignette2.wikia.nocookie.net/gameofthrones/images/3/3d/Ghost_Attacks_a_Wite.jpg,Ghost saves Sam's life.,http://vignette2.wikia.nocookie.net/gameofthrones/images/9/9b/S04E5_-_Jon_Snow_%26_Ghost.png,Ghost reunites with his master Jon after being freed by Bran.,http://vignette2.wikia.nocookie.net/gameofthrones/images/b/b1/Ghost_kills_Thenn.png,Ghost kills a Thenn warrior.,""
Goldcloak 1 (The Wolf and the Lion),"A Goldcloak is a minor character in the first season. He is played by guest star Alan Paris and only appears in ""The Wolf and the Lion.""","","",1,"",Alive,"","",City Watch,"","","","","","","","","","",http://vignette2.wikia.nocookie.net/gameofthrones/images/8/81/Goldcloak_1_%28The_Wolf_and_the_Lion%29.jpg/revision/latest?cb=20120327181402,Goldcloak 1 (The Wolf and the Lion),"","","","","","","","","","","","","","",""
Mighdal,"Master Mighdal is one of the former Great Masters of the Free City of Meereen.
He owned a slave named Fennesz, who was tasked with educating the children of the household. After Daenerys Targaryen took the city and freed all the slaves, Fennesz asked her to be allowed to re-sell himself into slavery, as Mighdal and his family had treated him well. The queen allowed for Fennesz and Mighdal to sign a contract of employment, but only for a period of one year at a time.","","",4,"",Alive,"",Meereen,Great Masters,Ghiscari (Meereenese),"","","","","","","","","","",Mighdal,"","","","","","","","","","","","","","",""
Aegon Targaryen (son of Rhaegar),"Prince Aegon Targaryen, the son of the crown prince Rhaegar Targaryen, is an unseen character in Game of Thrones. He is deceased when the events of the series begin and is not expected to appear in the series.","Aegon Targaryen was the son of Prince Rhaegar Targaryen and Princess Elia Martell. He had an older sister, Rhaenys Targaryen, and a younger paternal half-brother, Jon Snow. For mysterious reasons, Rhaegar allegedly abducted Jon's mother Lyanna Stark, sparking a rebellion that ultimately deposed House Targaryen as the ruling house of Westeros. Rhaegar was killed by Robert Baratheon, who was Lyanna's betrothed, at the Battle of the Trident. Soon afterward, Aegon and Rhaenys were brutally murdered along with their mother by Ser Gregor Clegane during the Sack of King's Landing.
Had he lived and ascended the throne, he would have ruled as ""Aegon VI"".","","",Prince,Deceased,"281 AL, Killed during the Sack of King's Landing by Ser Gregor Clegane",King's Landing,House Targaryen,Valyrian,"","","",Rhaegar Targaryen,Elia Martell,"","","Rhaenys Targaryen, Jon Snow (paternal half-brother)","",http://vignette2.wikia.nocookie.net/gameofthrones/images/9/97/Gregor_kills_Targaryens.jpg/revision/latest?cb=20120603163350,Aegon Targaryen (son of Rhaegar),http://vignette1.wikia.nocookie.net/gameofthrones/images/4/4a/Slaughter.png,Aegon is killed by Gregor Clegane in front of his mother.,"","","","","","","","","","","","",House Targaryen
